title,appId,url,icon,developer,developerId,priceText,currency,price,free,summary,scoreText,score
TeamSpeak 3 - Voice Chat Software,com.teamspeak.ts3client,https://play.google.com/store/apps/details?id=com.teamspeak.ts3client,https://play-lh.googleusercontent.com/2JqzHM185sArb5To_1vpaTo3rvmIotOW7OPmSMNW6eYJMQAK9NrHbJi4FLs5YaoeMuQ,TeamSpeak Systems GmbH,TeamSpeak+Systems+GmbH,R$4.49,R$,4.49,false,TeamSpeak - Secure Chat for Gaming &amp; Business,3.4,3.3790958
Video & TV Cast Pro for Sony TV | Cast Web Videos,de.twokit.video.tv.cast.browser.sony.pro,https://play.google.com/store/apps/details?id=de.twokit.video.tv.cast.browser.sony.pro,https://play-lh.googleusercontent.com/UXtCBMTYnmBZd8OI8kF39IpeCG0JvbXro5wSdfvutIAFrnAthbC27b6wR-u13Fglits,2kit consulting,6284879872961307001,R$3.99,R$,3.99,false,"Browser for Sony TV to stream web videos, online movies and live tv",2.0,1.9705882
IPTV Extreme Pro,com.pecana.iptvextremepro,https://play.google.com/store/apps/details?id=com.pecana.iptvextremepro,https://play-lh.googleusercontent.com/5uzjsJJYl0F_UY_Q_ZqbldW4Jk_3AYaSaKNOBH61-f6zOWVmQ8iApja17ft4UqLt0nQ,Paolo Turatti,Paolo+Turatti,R$6.49,R$,6.49,false,Manage your IPTV live channels and VOD playlists (no playlist included),4.3,4.2617283
Toca Life: Neighborhood,com.tocaboca.tocaneighborhood,https://play.google.com/store/apps/details?id=com.tocaboca.tocaneighborhood,https://play-lh.googleusercontent.com/u8Y_d9KagdDQPkecx9wyCTD68aqSAwnE1-X78n8o2gez2QJLAj1S8rJlHO_eFvsRHw,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Move into your new block,4.2,4.1768293
BizuApp 2021,com.app.p4690ID,https://play.google.com/store/apps/details?id=com.app.p4690ID,https://play-lh.googleusercontent.com/DXkrkMl1PMjhDfpVKF4I1hQQzAvMvUs5I0XoFZYF0NUsDInlmi3G1lmibaC9eRdNJA,Bizu app (Bizuário de Trânsito),Bizu+app+(Bizu%C3%A1rio+de+Tr%C3%A2nsito),R$22.99,R$,22.99,false,Your pocket Bizarium. Traffic legislation in PRACTICE.,4.9,4.9411764
Simple Gallery Pro: Video & Photo Manager & Editor,com.simplemobiletools.gallery.pro,https://play.google.com/store/apps/details?id=com.simplemobiletools.gallery.pro,https://play-lh.googleusercontent.com/AVZZZbUEx3alBo-SsECDrrdM5q9lSr0yXxjydJuiilxyqrMjqYlcK9INd1uUHem12w,Simple Mobile Tools,9070296388022589266,R$3.49,R$,3.49,false,"Your favorite photo album with no ads👍 Crop pictures, edit photos, video &amp; more",4.7,4.7286205
Poweramp Full Version Unlocker,com.maxmpz.audioplayer.unlock,https://play.google.com/store/apps/details?id=com.maxmpz.audioplayer.unlock,https://play-lh.googleusercontent.com/-iLvjuYZN_1CZAZ2eRy3MhzYopqcPo1zOahGHv97dkk3y9JVarLFHIcr_jiPzyt90Kk,Max MP,Max+MP,R$14.90,R$,14.9,false,Unlocks Poweramp - Powerful Music Player for Android,4.6,4.576013
TouchRetouch,com.advasoft.touchretouch,https://play.google.com/store/apps/details?id=com.advasoft.touchretouch,https://play-lh.googleusercontent.com/G_TE35bTcKM6tPTxPuZy_gz5JxnJSdMahz8Lcv2dUQ4QiwLoAflyaw6xS529mlHA5w,ADVA Soft,ADVA+Soft,R$6.99,R$,6.99,false,TouchRetouch is an app to remove unwanted content from photos in an instant.,4.6,4.61147
PowerAudio Pro Music R̶$̶1̶6̶.̶9̶9̶,xsoftstudio.musicplayer.pro,https://play.google.com/store/apps/details?id=xsoftstudio.musicplayer.pro,https://play-lh.googleusercontent.com/6VbMPWmUAYqGq7QX7VF3BBx-Hxzs61x8z-gN75NL0lp_2eoUyOwHT2cRSXj1f4EXTQ,PowerAudio Team,PowerAudio+Team,R$1.09,R$,1.09,false,PowerAudio Music Player Is The Most Powerful Music Player.,3.9,3.8978302
Toca Life: Vacation,com.tocaboca.tocavacation,https://play.google.com/store/apps/details?id=com.tocaboca.tocavacation,https://play-lh.googleusercontent.com/PRYlsPAkA0pGYe3LIdVhfk_QfWvU-mywRp5xYHLmtIfqgdd0Tos-0OPpyB9vz7fImmA,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Make every day a vacation adventure!,4.3,4.2818294
DroidCamX - HD Webcam for PC,com.dev47apps.droidcamx,https://play.google.com/store/apps/details?id=com.dev47apps.droidcamx,https://play-lh.googleusercontent.com/kAhNquV2zT_o_gbrIH2zL9SlcpnFBoIPc3kCArateSR-9khqSp36gE0dPJFJK5Vetno,Dev47Apps,Dev47Apps,R$24.99,R$,24.99,false,Use your phone as a webcam on your computer over WiFi or USB.,4.6,4.6108646
Screen Mirroring Pro App,de.twokit.screen.mirroring.app.pro,https://play.google.com/store/apps/details?id=de.twokit.screen.mirroring.app.pro,https://play-lh.googleusercontent.com/KGZiWXypo5-zR6grhy-yYrOPWkUJKgo8drzkTOs840rIUQyw5YI3HYR1vuOD-h_dAEA,2kit consulting,6284879872961307001,R$3.99,R$,3.99,false,"Screen Mirroring for Samsung TV, LG TV, Sony TV, Smart TV and Web Browser",1.9,1.93
WolframAlpha,com.wolfram.android.alpha,https://play.google.com/store/apps/details?id=com.wolfram.android.alpha,https://play-lh.googleusercontent.com/fkytTLBPEEAOZhLHtmV8IC93iETvKDyS71bTXL5hAmNqyYk4-rPBUQbZLLrh0BDzTt0,Wolfram Group,Wolfram+Group,R$10.99,R$,10.99,false,Wolfram|Alpha: the ultimate tool for getting answers,4.6,4.5600915
audioPro™ Music R̶$̶1̶6̶.̶9̶9̶,music.audio.musicplayer.pro,https://play.google.com/store/apps/details?id=music.audio.musicplayer.pro,https://play-lh.googleusercontent.com/2ygThc4gE7ksgF5n7mYzPjbogBVsLL_zAz3-8_GPCwyI7-_FIWb4QA_8k4bBMY1Y3RY,PowerAudio Team,PowerAudio+Team,R$1.09,R$,1.09,false,audioPro™ - Powerful Music Player,4.4,4.385159
Game Booster VIP - GFX- Lag Fix,com.booster.gfxpro,https://play.google.com/store/apps/details?id=com.booster.gfxpro,https://play-lh.googleusercontent.com/Mb5jEN-TULUPhCw0jgaeSwllxyddleHe2GmAQCO3vXMNiDlGVh9NoguhHa9LRhGERg,TOLAN,6379443585294642194,R$2.69,R$,2.69,false,🚀  Real Game Booster &amp; GFX Tool  🚀,4.6,4.6296296
Game Booster X: Game Play Optimizer,com.anutoapps.gameboosterx,https://play.google.com/store/apps/details?id=com.anutoapps.gameboosterx,https://play-lh.googleusercontent.com/UN_T_7sH2j8zios5QzI-lrREueW7xZMCydE-8xThlHH1br3T7mnEAiefttigUaxabQ,AntoDev,AntoDev,R$1.59,R$,1.59,false,Automatic game booster with floating booster widget!,4.5,4.5215945
GNV Brasil,com.itapox.GNVBR,https://play.google.com/store/apps/details?id=com.itapox.GNVBR,https://play-lh.googleusercontent.com/AKXyMRZWJx0PImJNxHw8w-FuP2W35rvUi1coXljBl7dhPqcAZoyBL552KuveTUMSTA,ITAPOX,7390978726948137347,R$14.99,R$,14.99,false,Find the nearest CNG stations and route routes through your browser,4.0,4.03
iLiturgia,com.iliturgia,https://play.google.com/store/apps/details?id=com.iliturgia,https://play-lh.googleusercontent.com/UK5dAAouEDj0MTmTSXGGCornBvltGoPHMLCf8aHPkOO7o8ilQJC44URU9jORkDWjLiOF,Cascubo Software,Cascubo+Software,R$20.99,R$,20.99,false,Liturgy of the Hours totally off-line,4.9,4.898409
Noteshelf: Take Notes | Handwriting | Annotate PDF,com.fluidtouch.noteshelf2,https://play.google.com/store/apps/details?id=com.fluidtouch.noteshelf2,https://play-lh.googleusercontent.com/hjbsck4JucSmvvaAmVkqeU8WtIZMOINBaCVhcmlEg9JsWO2eh9BVKzEgDEvYrbD8VkNW,Fluid Touch,Fluid+Touch,R$25.99,R$,25.99,false,"✍️One app for taking notes — handwriting, audio, PDF annotation, or checklists.",3.9,3.9150944
ConstruCalc Pro,com.tresium.construcalcpro,https://play.google.com/store/apps/details?id=com.tresium.construcalcpro,https://play-lh.googleusercontent.com/Lt5GQobBWiocm2OaGTl267m1zptRT8R_hhbiX4UzBpij2sxUMYuKTLTfvqNe6B38nOE,Tresium Soluções,8120198890187084920,R$6.99,R$,6.99,false,Calculates accurately the building materials of your work or renovation.,4.9,4.8514853
Toca Life: School,com.tocaboca.tocaschool,https://play.google.com/store/apps/details?id=com.tocaboca.tocaschool,https://play-lh.googleusercontent.com/IPWhumhMFWaYc742ex3y3TmNZBZcCBCpgrJN_Ix2ecsLT_xWnbMx6UWC4eEoEAa4Ug,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Grab your backpack— it’s time for Toca Life: School!,4.4,4.3530912
Nova Launcher Prime,com.teslacoilsw.launcher.prime,https://play.google.com/store/apps/details?id=com.teslacoilsw.launcher.prime,https://play-lh.googleusercontent.com/37Fo8GPVN6hRq0ztAMv35IHaPmKeMjq6hiRWEg39OEd0WatXUl927zi9J66n_fna6HY,TeslaCoil Software,TeslaCoil+Software,R$15.00,R$,15,false,Customize your home screen,4.7,4.66593
Game Booster Pro | Bug Fix & Boost,com.scoregame.gameboosterpro,https://play.google.com/store/apps/details?id=com.scoregame.gameboosterpro,https://play-lh.googleusercontent.com/cxF8AXWQP7KNx-AN48jsGQRVMcetOo8Nzj56s6FHlEPX60K4zm4dr0vDK86gD0pysYg,SCOREBOOT,SCOREBOOT,R$1.39,R$,1.39,false,Improve your gaming experience. No - ads,4.4,4.4454875
Toca Life: Pets,com.tocaboca.tocapets,https://play.google.com/store/apps/details?id=com.tocaboca.tocapets,https://play-lh.googleusercontent.com/p7YpblT5hZVXKMqFS5Gpm_12ZFsZOtv2kFabQBSsd14xlOjeWuIvKl1xXMHzfYvKcug,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Meet friends with paws &amp; claws,4.2,4.244186
Toca Life: Office,com.tocaboca.tocaoffice,https://play.google.com/store/apps/details?id=com.tocaboca.tocaoffice,https://play-lh.googleusercontent.com/5sVjVgqKb_e0_E8Ug0Mge-d9Cd36fDkQgSQUH7K-iUSGLyxqbNtR8UjPTo-WSuLWx9g,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Turn work into an adventure!,4.4,4.3594937
WPSApp Pro,com.themausoft.wpsapppro,https://play.google.com/store/apps/details?id=com.themausoft.wpsapppro,https://play-lh.googleusercontent.com/_75vPEH7I0ERueCHIRtDV0Z4kp89jGMsQlHAH4nu1SXzAAFz4ZcOPw-hHM_Jj1nFw1Y,TheMauSoft,TheMauSoft,R$5.49,R$,5.49,false,"Check the security of your WiFi network.
WPS protocol.
(WITHOUT ADS)",3.7,3.6855123
Calls Blacklist PRO - Call Blocker,com.vladlee.callsblacklist,https://play.google.com/store/apps/details?id=com.vladlee.callsblacklist,https://play-lh.googleusercontent.com/BPGCf6p3NkZtZL4N9yTaYxPC-RiEIsNsjr7a5r-644tpB0UNdcaP0Hwt2pf0ufGhEQ,Vlad Lee,Vlad+Lee,R$3.99,R$,3.99,false,"Block numbers: unwanted calls and texts. Full version, no ads.",4.1,4.096402
Video & TV Cast | Ultimate Edition,de.twokit.video.tv.cast.browser.ultimate,https://play.google.com/store/apps/details?id=de.twokit.video.tv.cast.browser.ultimate,https://play-lh.googleusercontent.com/DQtWJK5velhlh1U1v2guEtNEIfkzUSlNU4zagSVvyZPmcWo5dv_CISpZFn8n2BWGYzUN,2kit consulting,6284879872961307001,R$4.99,R$,4.99,false,"Stream Web Videos to Chromecast, Samsung, LG, Sony, Roku, Fire TV, DLNA + more",3.8,3.8078432
FiLMiC Pro: Professional HD Manual Video Camera,com.filmic.filmicpro,https://play.google.com/store/apps/details?id=com.filmic.filmicpro,https://play-lh.googleusercontent.com/RbJPza4n97TCYEO48P-gqrgQWzwv2sySmuk3vMT2nisX1ugJfDn6wRr2rr7gdDDgROw,FiLMiC Inc.,FiLMiC+Inc.,R$76.99,R$,76.99,false,The professional choice of Oscar-winning directors,3.5,3.5171149
PGT +🔧: Pro GFX & Optimizer(with advance setting),inc.trilokia.pubgfxtool,https://play.google.com/store/apps/details?id=inc.trilokia.pubgfxtool,https://play-lh.googleusercontent.com/P9X3llqLn27XjEya7dTvkRiEwr6pHv82h3k83iUoAD7RHkQehSvEqq6cQ4C5PfyQR1Sx,Trilokia Inc.,4898227705286580329,R$2.59,R$,2.59,false,An essential GFX utility developed for specific FPS mobile games,4.4,4.3599234
DiskDigger Pro file recovery,com.defianttech.diskdiggerpro,https://play.google.com/store/apps/details?id=com.defianttech.diskdiggerpro,https://play-lh.googleusercontent.com/9-I35xyyNx5O-b_E2XXT_JMhiQ8yyLEMVl2VRMKf4m5CNMXBNIziBbHloS-nlOqFOzw,"Defiant Technologies, LLC","Defiant+Technologies,+LLC",R$9.53,R$,9.53,false,Undelete and recover your lost or deleted files with DiskDigger!,2.9,2.8804665
Internet Optimizer Pro | No - Ads,com.scoreboot.hypnetpro,https://play.google.com/store/apps/details?id=com.scoreboot.hypnetpro,https://play-lh.googleusercontent.com/QQQcJn81Z5NLRRjmLi5GLizithFdETaD-La30aTbp381qpIbg7oliin_ENNSnbITMg,SCOREBOOT,SCOREBOOT,R$1.29,R$,1.29,false,"Find the fastest DNS server, connect. No - ads",4.2,4.2455015
AlpineQuest Off-Road Explorer,psyberia.alpinequest.full,https://play.google.com/store/apps/details?id=psyberia.alpinequest.full,https://play-lh.googleusercontent.com/_x5n5wh0YK1s0AVzYcoHZ5RioToiLpO-tqsL3Of8pPySs-Xc6hb583uSrjlJ20_A6iA,Psyberia,Psyberia,R$44.99,R$,44.99,false,Turn your Android device into a real off-road GPS using off-line topo maps!,4.7,4.6682925
"1DM+: Browser, Video, Audio, Torrent Downloader",idm.internet.download.manager.plus,https://play.google.com/store/apps/details?id=idm.internet.download.manager.plus,https://play-lh.googleusercontent.com/_CeHodp7UbckX3rmZKrdKXINt2DAszMRJEL3x33dPCJLzcRFlcYOvDu0qq9hDGE7PQ,Vicky Bonick,6290983356531270140,R$4.09,R$,4.09,false,1DM+ is most advanced download manager (up to 500% faster) with Torrent support,4.7,4.661565
"PRO Symbols, Nicknames, Letters, Text tools",com.dricodes.simboloseletrasdiferentes,https://play.google.com/store/apps/details?id=com.dricodes.simboloseletrasdiferentes,https://play-lh.googleusercontent.com/nPli6ChO5R_V-_L0ZwPVGqr3AwtOXRF2vsV_lD5kSggUJeWY1FHvujgKzZmXQigXgZE,Dricodes,Dricodes,R$1.99,R$,1.99,false,"Text Tools, Fonts and Decorations",4.7,4.6666665
KWGT Kustom Widget Pro Key,org.kustom.widget.pro,https://play.google.com/store/apps/details?id=org.kustom.widget.pro,https://play-lh.googleusercontent.com/BeZ7MGWZ9aiwskR_kRY6_VRLWToG0HZvVknbgx9Ax7tOD9OlThuET4OGNhZbmH9Pmg,Kustom Industries,5300483087872269403,R$10.00,R$,10,false,Create your own custom widget with endless possibilities,4.2,4.152406
PowerAudio Plus Music R̶$̶1̶6̶.̶9̶9̶,power.amp.musicplayer.pi.audioplayer,https://play.google.com/store/apps/details?id=power.amp.musicplayer.pi.audioplayer,https://play-lh.googleusercontent.com/-CiMRkOhuO8pUvwYweKUrkh6hNm90V4jsjNeyZ5ULj6HH3jgJSa0hUsDJVYDgX1FPZo,PowerAudio Team,PowerAudio+Team,R$1.09,R$,1.09,false,Paid version of PowerAudio - Powerful Music Player,4.3,4.327024
IPTV Pro,ru.iptvremote.android.iptv.pro,https://play.google.com/store/apps/details?id=ru.iptvremote.android.iptv.pro,https://play-lh.googleusercontent.com/SyaXGLAtrZA1ugftLTUzQNB56a-b6sNzQMkO4jXD8h1Qh4_15YSpXv9hA1vSW2Q2Bc0P,Alexander Sofronov,Alexander+Sofronov,R$14.99,R$,14.99,false,Watch IPTV on your Android device,3.8,3.816288
Musical Chord,com.harmonicear,https://play.google.com/store/apps/details?id=com.harmonicear,https://play-lh.googleusercontent.com/kQMf1W5EB-bfOJYF7A2y7_803qCTNLfXNH3xCmCrlbpCaneBTaFB3gjXciWiWCczqObx,Musical Chord,Musical+Chord,R$10.99,R$,10.99,false,A practical way to study music.,5.0,5
Navigation Pro: Google Maps Navi on Samsung Watch,smartwatchstudios.app.gears3navigation,https://play.google.com/store/apps/details?id=smartwatchstudios.app.gears3navigation,https://play-lh.googleusercontent.com/AEXCG0OBJoHKiDR9l9706kULLCyhI02zjWTFHHsmeZYGUq0hBLuvkVLqPEUaA-Ulh6c,Smartwatch Studios,Smartwatch+Studios,R$12.99,R$,12.99,false,Navigate with your watch and keep the phone in your pocket!,4.3,4.286608
Navigation Pro: Google Maps Navi on Samsung Watch,smartwatchstudios.app.gears3navigation,https://play.google.com/store/apps/details?id=smartwatchstudios.app.gears3navigation,https://play-lh.googleusercontent.com/AEXCG0OBJoHKiDR9l9706kULLCyhI02zjWTFHHsmeZYGUq0hBLuvkVLqPEUaA-Ulh6c,Smartwatch Studios,Smartwatch+Studios,R$12.99,R$,12.99,false,Navigate with your watch and keep the phone in your pocket!,4.3,4.286608
Foundations - Ciclo 3 – Classical Conversations,com.cc.C3.ClassicalConversations,https://play.google.com/store/apps/details?id=com.cc.C3.ClassicalConversations,https://play-lh.googleusercontent.com/kiqxpYgATKrcv0KpEM-PmBiJ4TU1Q8_xig6OWvKtWVnsCRg9XhXnKRaYtPucXVLgMT8,EDI Brasil Ltda,EDI+Brasil+Ltda,R$59.99,R$,59.99,false,Listen to the history of Brazil that was put to music for the purpose of memorization.,5.0,5
Nano Teleprompter,com.aihamfell.techteleprompter,https://play.google.com/store/apps/details?id=com.aihamfell.techteleprompter,https://play-lh.googleusercontent.com/_etqxfQzoH3FdJJuEiV4RDjTweZ3qrXMlLBOiB1ihQgu1xxETzX7k01iiPY3mWT06Ik,AFELL APPS,8721271102014787065,R$16.99,R$,16.99,false,a teleprompter with many features like showing the text over any camera app,4.8,4.7753625
Toca Life: After School,com.tocaboca.tocaafterschool,https://play.google.com/store/apps/details?id=com.tocaboca.tocaafterschool,https://play-lh.googleusercontent.com/-l6dsajbKM_Jyyi7iLAvkwb-uBpSZAZY_-Jy7KRQVqNt0UU1Us6xg8z_8j16KqHbmJs,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Explore hobbies &amp; play sport,4.2,4.245714
Sleep as Android Unlock 💤 Sleep cycle smart alarm,com.urbandroid.sleep.full.key,https://play.google.com/store/apps/details?id=com.urbandroid.sleep.full.key,https://play-lh.googleusercontent.com/3W_8fBXMgxbbpSZ5zegghyGLjFWE7AxeEE6GyKkhP8lt2U13afGtZua7Ne-qrdPvJUQ,Urbandroid (Petr Nálevka),9219179332656617922,R$13.99,R$,13.99,false,Track your sleep and wake up gently with nature sounds in optimal sleep phase,4.7,4.6655617
Pomodoro Timer Pro,com.tatkovlab.pomodoro,https://play.google.com/store/apps/details?id=com.tatkovlab.pomodoro,https://play-lh.googleusercontent.com/eaKKhSXDW7JHsMhJnW4UOxl6V_AifpnPTgHjtW6LmJGC5edHW4jPfJBuujzknTCoQA,Tatkov Lab,Tatkov+Lab,R$5.99,R$,5.99,false,Is your productivity low and time your enemy? It's time to change that!,4.6,4.647059
Panda Game Booster & GFX Tool for Battleground,com.panda.gamebooster,https://play.google.com/store/apps/details?id=com.panda.gamebooster,https://play-lh.googleusercontent.com/rKLXnTfk9buTrvS8oEiPqK4c5i3UDrPtooddwxlbxOMQMPDhTYp4Dm27vIoMVTelbNE4,Panda Gaming Studio,Panda+Gaming+Studio,R$3.79,R$,3.79,false,"Unleashing RAM, CPU, optimize GPU GFX tool for Battleground and other games",4.5,4.501853
Timestamp Camera Pro,com.jeyluta.timestampcamera,https://play.google.com/store/apps/details?id=com.jeyluta.timestampcamera,https://play-lh.googleusercontent.com/0t-ytZcJJq9JPOHfFGEUWpZ5JNWyyh95oDrqzodE9X2MTx2CofsENatLyrTi13foeA,Bian Di,Bian+Di,R$19.99,R$,19.99,false,Timestamp Camera is the best(maybe only) app to add timestamps to new videos.,4.6,4.5559845
Toca Life: City,com.tocaboca.tocacity,https://play.google.com/store/apps/details?id=com.tocaboca.tocacity,https://play-lh.googleusercontent.com/YTzxbgZGksnYetrA3A2CoZvNzsr83zkidx03ljBFLgrNhi7m90qY6dKs7nN7TRs2Ops,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,"Welcome to Toca Life: City, a metropolis filled with everyday fun!",4.4,4.438057
SketchCut PRO - Fast Cutting,com.fortali.sketchcutpro,https://play.google.com/store/apps/details?id=com.fortali.sketchcutpro,https://play-lh.googleusercontent.com/UwKeZllpXJjta8wSoveOLbPVwYBsbyyRFtCxMbpuZssa9404dKQs55Nh9_WrE7O8YcnC,TaLi Software,TaLi+Software,R$29.90,R$,29.9,false,The App for calculating nesting drawings for sheet materials. Full version.,4.0,4.015748
Abc do Bita Completo,com.quartaDimensao.abc_completo,https://play.google.com/store/apps/details?id=com.quartaDimensao.abc_completo,https://play-lh.googleusercontent.com/DyxR7mNP5JnUeJcUG83J1BJusfmhEIZYQ-Wkh-19HKivZfPyr85ScdA0dSoD8oigV-Ii,Mr. Plot Produções,Mr.+Plot+Produ%C3%A7%C3%B5es,R$0.99,R$,0.99,false,Toy for children in literacy. With educational games in Portuguese.,3.1,3.07
Audio Evolution Mobile Studio,com.extreamsd.aemobile,https://play.google.com/store/apps/details?id=com.extreamsd.aemobile,https://play-lh.googleusercontent.com/Y1P1K5oZ9F8mRu8G3r05eS9FtZN9scagUY9BnGQ3uDMDqDJ8u88dJ44dPc7Z3_dT2A,eXtream Software Development,eXtream+Software+Development,R$39.99,R$,39.99,false,The leading multitrack audio and MIDI recording studio with USB audio/MIDI!,4.1,4.078621
HP 12c Financial Calculator,com.hp.hp12c,https://play.google.com/store/apps/details?id=com.hp.hp12c,https://play-lh.googleusercontent.com/ICrYFhX3REDcXJ2s7bfrYu5X_dqffkIN_t_sdo6d8WCkofA22bP5BsL0uxhyeNXFoQ,HP Inc,5348200011046889120,R$47.75,R$,47.75,false,HP 12c Calculator app is now available for business professionals and students.,4.0,4
Elegant Teleprompter Pro,com.ayman.elegantteleprompter.paid,https://play.google.com/store/apps/details?id=com.ayman.elegantteleprompter.paid,https://play-lh.googleusercontent.com/COVkbdabZkorMXo5-WTyJxPL8SlE0wFLGIjPyC0sD_LDm7D9U5J8JACPWaoRP6e8ag,Ayman Elakwah,Ayman+Elakwah,R$11.99,R$,11.99,false,Elegant Teleprompter helps you speak fluently in front of cameras.,4.7,4.68
µTorrent® Pro - Torrent App,com.utorrent.client.pro,https://play.google.com/store/apps/details?id=com.utorrent.client.pro,https://play-lh.googleusercontent.com/qb7DtNhXGREfw8VGPCMkmO3Y2EzZMy8j6VfuMtwkKbBcVAdGxcA12u5-4j2sEDUSfFY,"BitTorrent, Inc.","BitTorrent,+Inc.",R$15.99,R$,15.99,false,#1 Torrent App on Android ** No Ads Ever + Battery Saver **,4.4,4.4379396
"ReadEra Premium - book reader pdf, epub, word",org.readera.premium,https://play.google.com/store/apps/details?id=org.readera.premium,https://play-lh.googleusercontent.com/cbI_01jZP7oWKBa8I5yeLDoR-HEYkB_urY1KYJ27d6XeY78G70HTN3O_9z1nov75d2Tm,READERA LLC,7884016305306450409,R$35.99,R$,35.99,false,"Read books PDF, EPUB, WORD, KINDLE, MOBI! Best book reader ever of reading apps.",4.8,4.8346057
