title,appId,url,icon,developer,developerId,priceText,currency,price,free,summary,scoreText,score
DroidCamX - HD Webcam for PC,com.dev47apps.droidcamx,https://play.google.com/store/apps/details?id=com.dev47apps.droidcamx,https://play-lh.googleusercontent.com/kAhNquV2zT_o_gbrIH2zL9SlcpnFBoIPc3kCArateSR-9khqSp36gE0dPJFJK5Vetno,Dev47Apps,Dev47Apps,R$24.99,R$,24.99,false,Use your phone as a webcam on your computer over WiFi or USB.,4.6,4.6247287
Poweramp Full Version Unlocker,com.maxmpz.audioplayer.unlock,https://play.google.com/store/apps/details?id=com.maxmpz.audioplayer.unlock,https://play-lh.googleusercontent.com/-iLvjuYZN_1CZAZ2eRy3MhzYopqcPo1zOahGHv97dkk3y9JVarLFHIcr_jiPzyt90Kk,Max MP,Max+MP,R$14.90,R$,14.9,false,Unlocks Poweramp - Powerful Music Player for Android,4.6,4.576916
Screen Mirroring Pro App,de.twokit.screen.mirroring.app.pro,https://play.google.com/store/apps/details?id=de.twokit.screen.mirroring.app.pro,https://play-lh.googleusercontent.com/KGZiWXypo5-zR6grhy-yYrOPWkUJKgo8drzkTOs840rIUQyw5YI3HYR1vuOD-h_dAEA,2kit consulting,6284879872961307001,R$3.99,R$,3.99,false,"Screen Mirroring for Samsung TV, LG TV, Sony TV, Smart TV and Web Browser",2.0,1.97
Musical Chord,com.harmonicear,https://play.google.com/store/apps/details?id=com.harmonicear,https://play-lh.googleusercontent.com/kQMf1W5EB-bfOJYF7A2y7_803qCTNLfXNH3xCmCrlbpCaneBTaFB3gjXciWiWCczqObx,Musical Chord,Musical+Chord,R$10.99,R$,10.99,false,A practical way to study music.,5.0,5
Toca Life: Vacation,com.tocaboca.tocavacation,https://play.google.com/store/apps/details?id=com.tocaboca.tocavacation,https://play-lh.googleusercontent.com/PRYlsPAkA0pGYe3LIdVhfk_QfWvU-mywRp5xYHLmtIfqgdd0Tos-0OPpyB9vz7fImmA,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Make every day a vacation adventure!,4.3,4.2814813
Nova Launcher Prime,com.teslacoilsw.launcher.prime,https://play.google.com/store/apps/details?id=com.teslacoilsw.launcher.prime,https://play-lh.googleusercontent.com/37Fo8GPVN6hRq0ztAMv35IHaPmKeMjq6hiRWEg39OEd0WatXUl927zi9J66n_fna6HY,TeslaCoil Software,TeslaCoil+Software,R$15.00,R$,15,false,Customize your home screen,4.7,4.6658716
Game Booster X: Game Play Optimizer,com.anutoapps.gameboosterx,https://play.google.com/store/apps/details?id=com.anutoapps.gameboosterx,https://play-lh.googleusercontent.com/UN_T_7sH2j8zios5QzI-lrREueW7xZMCydE-8xThlHH1br3T7mnEAiefttigUaxabQ,AntoDev,AntoDev,R$1.59,R$,1.59,false,Automatic game booster with floating booster widget!,4.5,4.5361843
Game Booster VIP - GFX- Lag Fix,com.booster.gfxpro,https://play.google.com/store/apps/details?id=com.booster.gfxpro,https://play-lh.googleusercontent.com/Mb5jEN-TULUPhCw0jgaeSwllxyddleHe2GmAQCO3vXMNiDlGVh9NoguhHa9LRhGERg,TOLAN,6379443585294642194,R$2.69,R$,2.69,false,🚀  Real Game Booster &amp; GFX Tool  🚀,4.6,4.6463413
PowerAudio Pro Music R̶$̶1̶6̶.̶9̶9̶,xsoftstudio.musicplayer.pro,https://play.google.com/store/apps/details?id=xsoftstudio.musicplayer.pro,https://play-lh.googleusercontent.com/6VbMPWmUAYqGq7QX7VF3BBx-Hxzs61x8z-gN75NL0lp_2eoUyOwHT2cRSXj1f4EXTQ,PowerAudio Team,PowerAudio+Team,R$1.09,R$,1.09,false,PowerAudio Music Player Is The Most Powerful Music Player.,3.9,3.8996642
Game Booster Pro | Bug Fix & Boost,com.scoregame.gameboosterpro,https://play.google.com/store/apps/details?id=com.scoregame.gameboosterpro,https://play-lh.googleusercontent.com/cxF8AXWQP7KNx-AN48jsGQRVMcetOo8Nzj56s6FHlEPX60K4zm4dr0vDK86gD0pysYg,SCOREBOOT,SCOREBOOT,R$1.39,R$,1.39,false,Improve your gaming experience. No - ads,4.4,4.439205
Toca Life: City,com.tocaboca.tocacity,https://play.google.com/store/apps/details?id=com.tocaboca.tocacity,https://play-lh.googleusercontent.com/YTzxbgZGksnYetrA3A2CoZvNzsr83zkidx03ljBFLgrNhi7m90qY6dKs7nN7TRs2Ops,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,"Welcome to Toca Life: City, a metropolis filled with everyday fun!",4.4,4.435023
RAM & Game Booster by Augustro (67% OFF),com.augustro.rambooster,https://play.google.com/store/apps/details?id=com.augustro.rambooster,https://play-lh.googleusercontent.com/5fyeWysICmUO6kNVG6TJudWLOA_1QSjC9H8GW_PdD9nV1Y0lAnpU6pHrBP0fjWUlph-4,Augustro,6070161350609535667,R$0.99,R$,0.99,false,"Super efficient RAM Booster and Game Booster, Works automatically!",4.6,4.580139
WolframAlpha,com.wolfram.android.alpha,https://play.google.com/store/apps/details?id=com.wolfram.android.alpha,https://play-lh.googleusercontent.com/fkytTLBPEEAOZhLHtmV8IC93iETvKDyS71bTXL5hAmNqyYk4-rPBUQbZLLrh0BDzTt0,Wolfram Group,Wolfram+Group,R$10.99,R$,10.99,false,Wolfram|Alpha: the ultimate tool for getting answers,4.6,4.56
GNV Brasil,com.itapox.GNVBR,https://play.google.com/store/apps/details?id=com.itapox.GNVBR,https://play-lh.googleusercontent.com/AKXyMRZWJx0PImJNxHw8w-FuP2W35rvUi1coXljBl7dhPqcAZoyBL552KuveTUMSTA,ITAPOX,7390978726948137347,R$14.99,R$,14.99,false,Find the nearest CNG stations and route routes through your browser,4.0,4.004926
Toca Life: School,com.tocaboca.tocaschool,https://play.google.com/store/apps/details?id=com.tocaboca.tocaschool,https://play-lh.googleusercontent.com/IPWhumhMFWaYc742ex3y3TmNZBZcCBCpgrJN_Ix2ecsLT_xWnbMx6UWC4eEoEAa4Ug,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Grab your backpack— it’s time for Toca Life: School!,4.4,4.351852
IPTV Pro,ru.iptvremote.android.iptv.pro,https://play.google.com/store/apps/details?id=ru.iptvremote.android.iptv.pro,https://play-lh.googleusercontent.com/SyaXGLAtrZA1ugftLTUzQNB56a-b6sNzQMkO4jXD8h1Qh4_15YSpXv9hA1vSW2Q2Bc0P,Alexander Sofronov,Alexander+Sofronov,R$14.99,R$,14.99,false,Watch IPTV on your Android device,3.8,3.7973485
Toca Life: Pets,com.tocaboca.tocapets,https://play.google.com/store/apps/details?id=com.tocaboca.tocapets,https://play-lh.googleusercontent.com/p7YpblT5hZVXKMqFS5Gpm_12ZFsZOtv2kFabQBSsd14xlOjeWuIvKl1xXMHzfYvKcug,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Meet friends with paws &amp; claws,4.2,4.244186
audioPro™ Music R̶$̶1̶6̶.̶9̶9̶,music.audio.musicplayer.pro,https://play.google.com/store/apps/details?id=music.audio.musicplayer.pro,https://play-lh.googleusercontent.com/2ygThc4gE7ksgF5n7mYzPjbogBVsLL_zAz3-8_GPCwyI7-_FIWb4QA_8k4bBMY1Y3RY,PowerAudio Team,PowerAudio+Team,R$1.09,R$,1.09,false,audioPro™ - Powerful Music Player,4.3,4.3392224
Toca Life: Office,com.tocaboca.tocaoffice,https://play.google.com/store/apps/details?id=com.tocaboca.tocaoffice,https://play-lh.googleusercontent.com/5sVjVgqKb_e0_E8Ug0Mge-d9Cd36fDkQgSQUH7K-iUSGLyxqbNtR8UjPTo-WSuLWx9g,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Turn work into an adventure!,4.4,4.3705583
ConstruCalc Pro,com.tresium.construcalcpro,https://play.google.com/store/apps/details?id=com.tresium.construcalcpro,https://play-lh.googleusercontent.com/Lt5GQobBWiocm2OaGTl267m1zptRT8R_hhbiX4UzBpij2sxUMYuKTLTfvqNe6B38nOE,Tresium Soluções,8120198890187084920,R$6.99,R$,6.99,false,Calculates accurately the building materials of your work or renovation.,4.8,4.831683
iLiturgia,com.iliturgia,https://play.google.com/store/apps/details?id=com.iliturgia,https://play-lh.googleusercontent.com/UK5dAAouEDj0MTmTSXGGCornBvltGoPHMLCf8aHPkOO7o8ilQJC44URU9jORkDWjLiOF,Cascubo Software,Cascubo+Software,R$20.99,R$,20.99,false,Liturgy of the Hours totally off-line,4.9,4.8969326
Noteshelf: Take Notes | Handwriting | Annotate PDF,com.fluidtouch.noteshelf2,https://play.google.com/store/apps/details?id=com.fluidtouch.noteshelf2,https://play-lh.googleusercontent.com/hjbsck4JucSmvvaAmVkqeU8WtIZMOINBaCVhcmlEg9JsWO2eh9BVKzEgDEvYrbD8VkNW,Fluid Touch,Fluid+Touch,R$25.99,R$,25.99,false,"✍️One app for taking notes — handwriting, audio, PDF annotation, or checklists.",3.9,3.9005237
Video & TV Cast | Ultimate Edition,de.twokit.video.tv.cast.browser.ultimate,https://play.google.com/store/apps/details?id=de.twokit.video.tv.cast.browser.ultimate,https://play-lh.googleusercontent.com/DQtWJK5velhlh1U1v2guEtNEIfkzUSlNU4zagSVvyZPmcWo5dv_CISpZFn8n2BWGYzUN,2kit consulting,6284879872961307001,R$4.99,R$,4.99,false,"Stream Web Videos to Chromecast, Samsung, LG, Sony, Roku, Fire TV, DLNA + more",3.8,3.7952757
"PRO Symbols, Nicknames, Letters, Text tools",com.dricodes.simboloseletrasdiferentes,https://play.google.com/store/apps/details?id=com.dricodes.simboloseletrasdiferentes,https://play-lh.googleusercontent.com/nPli6ChO5R_V-_L0ZwPVGqr3AwtOXRF2vsV_lD5kSggUJeWY1FHvujgKzZmXQigXgZE,Dricodes,Dricodes,R$1.99,R$,1.99,false,"Text Tools, Fonts and Decorations",4.7,4.663636
Internet Optimizer Pro,com.scoreboot.hypnetpro,https://play.google.com/store/apps/details?id=com.scoreboot.hypnetpro,https://play-lh.googleusercontent.com/QQQcJn81Z5NLRRjmLi5GLizithFdETaD-La30aTbp381qpIbg7oliin_ENNSnbITMg,SCOREBOOT,SCOREBOOT,R$1.29,R$,1.29,false,"Find the fastest DNS server, connect. Quick Dns Changer.",4.2,4.2222223
PGT +🔧: Pro GFX & Optimizer(with advance setting),inc.trilokia.pubgfxtool,https://play.google.com/store/apps/details?id=inc.trilokia.pubgfxtool,https://play-lh.googleusercontent.com/P9X3llqLn27XjEya7dTvkRiEwr6pHv82h3k83iUoAD7RHkQehSvEqq6cQ4C5PfyQR1Sx,Trilokia Inc.,4898227705286580329,R$2.59,R$,2.59,false,An essential GFX utility developed for specific FPS mobile games,4.3,4.326752
Nano Teleprompter,com.aihamfell.techteleprompter,https://play.google.com/store/apps/details?id=com.aihamfell.techteleprompter,https://play-lh.googleusercontent.com/_etqxfQzoH3FdJJuEiV4RDjTweZ3qrXMlLBOiB1ihQgu1xxETzX7k01iiPY3mWT06Ik,AFELL APPS,8721271102014787065,R$16.99,R$,16.99,false,a teleprompter with many features like showing the text over any camera app,4.8,4.8014183
KWGT Kustom Widget Pro Key,org.kustom.widget.pro,https://play.google.com/store/apps/details?id=org.kustom.widget.pro,https://play-lh.googleusercontent.com/BeZ7MGWZ9aiwskR_kRY6_VRLWToG0HZvVknbgx9Ax7tOD9OlThuET4OGNhZbmH9Pmg,Kustom Industries,5300483087872269403,R$10.00,R$,10,false,Create your own custom widget with endless possibilities,4.1,4.141333
FiLMiC Pro: Professional HD Manual Video Camera,com.filmic.filmicpro,https://play.google.com/store/apps/details?id=com.filmic.filmicpro,https://play-lh.googleusercontent.com/RbJPza4n97TCYEO48P-gqrgQWzwv2sySmuk3vMT2nisX1ugJfDn6wRr2rr7gdDDgROw,FiLMiC Inc.,FiLMiC+Inc.,R$76.99,R$,76.99,false,The professional choice of Oscar-winning directors,3.5,3.4804878
AlpineQuest Off-Road Explorer,psyberia.alpinequest.full,https://play.google.com/store/apps/details?id=psyberia.alpinequest.full,https://play-lh.googleusercontent.com/_x5n5wh0YK1s0AVzYcoHZ5RioToiLpO-tqsL3Of8pPySs-Xc6hb583uSrjlJ20_A6iA,Psyberia,Psyberia,R$44.99,R$,44.99,false,Turn your Android device into a real off-road GPS using off-line topo maps!,4.7,4.6645055
WPSApp Pro,com.themausoft.wpsapppro,https://play.google.com/store/apps/details?id=com.themausoft.wpsapppro,https://play-lh.googleusercontent.com/_75vPEH7I0ERueCHIRtDV0Z4kp89jGMsQlHAH4nu1SXzAAFz4ZcOPw-hHM_Jj1nFw1Y,TheMauSoft,TheMauSoft,R$5.49,R$,5.49,false,"Check the security of your WiFi network.
WPS protocol.
(WITHOUT ADS)",3.7,3.6619217
Toca Life: Farm,com.tocaboca.tocalifefarm,https://play.google.com/store/apps/details?id=com.tocaboca.tocalifefarm,https://play-lh.googleusercontent.com/Ezwmp8FvN8gxzTSym_YFunpWAG5rAH2U03xLr7zBJTpwH0Ljgkr5XvvUGvN-9Gjt8j4,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Work and play the farmer's way!,4.5,4.498731
Toca Life: After School,com.tocaboca.tocaafterschool,https://play.google.com/store/apps/details?id=com.tocaboca.tocaafterschool,https://play-lh.googleusercontent.com/-l6dsajbKM_Jyyi7iLAvkwb-uBpSZAZY_-Jy7KRQVqNt0UU1Us6xg8z_8j16KqHbmJs,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Explore hobbies &amp; play sport,4.3,4.281609
DiskDigger Pro file recovery,com.defianttech.diskdiggerpro,https://play.google.com/store/apps/details?id=com.defianttech.diskdiggerpro,https://play-lh.googleusercontent.com/9-I35xyyNx5O-b_E2XXT_JMhiQ8yyLEMVl2VRMKf4m5CNMXBNIziBbHloS-nlOqFOzw,"Defiant Technologies, LLC","Defiant+Technologies,+LLC",R$9.53,R$,9.53,false,Undelete and recover your lost or deleted files with DiskDigger!,2.9,2.8808138
"1DM+: Browser, Video, Audio, Torrent Downloader",idm.internet.download.manager.plus,https://play.google.com/store/apps/details?id=idm.internet.download.manager.plus,https://play-lh.googleusercontent.com/_CeHodp7UbckX3rmZKrdKXINt2DAszMRJEL3x33dPCJLzcRFlcYOvDu0qq9hDGE7PQ,Vicky Bonick,6290983356531270140,R$4.09,R$,4.09,false,1DM+ is most advanced download manager (up to 500% faster) with Torrent support,4.7,4.667506
BizuApp 2021,com.app.p4690ID,https://play.google.com/store/apps/details?id=com.app.p4690ID,https://play-lh.googleusercontent.com/DXkrkMl1PMjhDfpVKF4I1hQQzAvMvUs5I0XoFZYF0NUsDInlmi3G1lmibaC9eRdNJA,Bizu app (Bizuário de Trânsito),Bizu+app+(Bizu%C3%A1rio+de+Tr%C3%A2nsito),R$22.99,R$,22.99,false,Your pocket Bizarium. Traffic legislation in PRACTICE.,4.9,4.9411764
Toca Life: Stable,com.tocaboca.tocastable,https://play.google.com/store/apps/details?id=com.tocaboca.tocastable,https://play-lh.googleusercontent.com/_qj6fCh-O8h1B15gPZlFkFId8fgab4Sn0J1PDbgx85Pwujt2dijbvJM1uR-iCLWujBk,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,Welcome to a world of horses and adventure!,4.5,4.492563
Square Home Key - Launcher: Windows style,com.ss.squarehome.key,https://play.google.com/store/apps/details?id=com.ss.squarehome.key,https://play-lh.googleusercontent.com/6ug3LEPpgkmQHKUIw3juhVi8byuu11pBE7o2q63_UcQatD-8fgX-FL9jFzax9A2PnA,ChYK the dev.,ChYK+the+dev.,R$12.99,R$,12.99,false,The best windows 10 style launcher on Android!,4.8,4.8242373
SD Maid Pro - Unlocker,eu.thedarken.sdm.unlocker,https://play.google.com/store/apps/details?id=eu.thedarken.sdm.unlocker,https://play-lh.googleusercontent.com/LSzx-MtueW0rkK7fUbYYwDZmjqAfqAdPhIfOXALP847hNT-zkOpAvpu5yx6GOrD9lQk,darken,darken,R$7.00,R$,7,false,"A maid for your Android, to keep it clean &amp; tidy.",4.5,4.5220394
Stick Nodes Pro - Stickfigure Animator,org.fortheloss.sticknodespro,https://play.google.com/store/apps/details?id=org.fortheloss.sticknodespro,https://play-lh.googleusercontent.com/URZOrrgEKZ4SViIe7BNhYfkdJwYbiPw2HfPlg3z3HK6r1vtyoJ3mQHRl303yt7LiWxU,ForTheLoss Games,ForTheLoss+Games,R$9.99,R$,9.99,false,A powerful stickfigure animation app created with mobile devices in mind!,4.6,4.643038
Video & TV Cast + Google Cast: Android TV Streamer,de.twokit.castbrowsernexusplayer.pro,https://play.google.com/store/apps/details?id=de.twokit.castbrowsernexusplayer.pro,https://play-lh.googleusercontent.com/NUDoInE4pOf_zhf3n1k20dzHF27Md6XoHLyjLS5Kll9SS3MZSupvKxVOyUaK_T7P_CJc,2kit consulting,6284879872961307001,R$3.99,R$,3.99,false,"Web browser to stream videos, online movies &amp; livestreams to Google Cast TVs",2.0,2.009804
SkyView® Explore the Universe,com.t11.skyview,https://play.google.com/store/apps/details?id=com.t11.skyview,https://play-lh.googleusercontent.com/FbT_XWX5IYXQUt2fWug_vEyOdAWORIBe5ipHETfEvL6QVklVRU0NEFUgMeUN6mM73QY,Terminal Eleven,Terminal+Eleven,R$5.07,R$,5.07,false,"SkyView®, an augmented reality space app, brings stargazing to everyone!",4.4,4.3562946
Threema. Secure and private Messenger,ch.threema.app,https://play.google.com/store/apps/details?id=ch.threema.app,https://play-lh.googleusercontent.com/eneY-f9h2zq095n7k-FeV-whgabl0W_qb_eIFp1syA_tkNpVfMFs3bTGIKHWzRs3lsr-,Threema GmbH,7923858866786761874,R$15.99,R$,15.99,false,Threema is the messenger that puts security and privacy first.,4.6,4.5731525
Navigation Pro: Google Maps Navi on Samsung Watch,smartwatchstudios.app.gears3navigation,https://play.google.com/store/apps/details?id=smartwatchstudios.app.gears3navigation,https://play-lh.googleusercontent.com/AEXCG0OBJoHKiDR9l9706kULLCyhI02zjWTFHHsmeZYGUq0hBLuvkVLqPEUaA-Ulh6c,Smartwatch Studios,Smartwatch+Studios,R$12.99,R$,12.99,false,Navigate with your watch and keep the phone in your pocket!,4.3,4.2916665
HP 12c Financial Calculator,com.hp.hp12c,https://play.google.com/store/apps/details?id=com.hp.hp12c,https://play-lh.googleusercontent.com/ICrYFhX3REDcXJ2s7bfrYu5X_dqffkIN_t_sdo6d8WCkofA22bP5BsL0uxhyeNXFoQ,HP Inc,5348200011046889120,R$47.75,R$,47.75,false,HP 12c Calculator app is now available for business professionals and students.,4.0,4
Calls Blacklist PRO - Call Blocker,com.vladlee.callsblacklist,https://play.google.com/store/apps/details?id=com.vladlee.callsblacklist,https://play-lh.googleusercontent.com/BPGCf6p3NkZtZL4N9yTaYxPC-RiEIsNsjr7a5r-644tpB0UNdcaP0Hwt2pf0ufGhEQ,Vlad Lee,Vlad+Lee,R$3.99,R$,3.99,false,"Block numbers: unwanted calls and texts. Full version, no ads.",4.1,4.1029935
PSPlay: PS Remote Play Unlimited,psplay.grill.com,https://play.google.com/store/apps/details?id=psplay.grill.com,https://play-lh.googleusercontent.com/ujWklgzmrSzA99DzsB27uTHspChZaKv02bXYMGfaPiG736pBM_m_580NI4Y6xSuoa6o,Florian Grill,5155814969687576049,R$27.99,R$,27.99,false,Play PS5/ PS4 games remotely with any controller and mobile internet connection,4.6,4.630282
PowerAudio Plus Music R̶$̶1̶6̶.̶9̶9̶,power.amp.musicplayer.pi.audioplayer,https://play.google.com/store/apps/details?id=power.amp.musicplayer.pi.audioplayer,https://play-lh.googleusercontent.com/-CiMRkOhuO8pUvwYweKUrkh6hNm90V4jsjNeyZ5ULj6HH3jgJSa0hUsDJVYDgX1FPZo,PowerAudio Team,PowerAudio+Team,R$1.09,R$,1.09,false,Paid version of PowerAudio - Powerful Music Player,4.3,4.335805
Toca Life: Town,com.tocaboca.tocatown,https://play.google.com/store/apps/details?id=com.tocaboca.tocatown,https://play-lh.googleusercontent.com/rQ1DdLIC6bh_s20No8BnkcPWsVmSfs7GEfZcLQ1YxQHiqAsOly0fq9JrhtzSCST_7k4,Toca Boca,8567646723268777320,R$12.90,R$,12.9,false,"You rule in Toca Life: Town, a play world where anything and everyone is welcome",4.2,4.194934
"Panda Keymapper 64bit -  Gamepad,mouse,keyboard",com.panda.keymapper.bit64,https://play.google.com/store/apps/details?id=com.panda.keymapper.bit64,https://play-lh.googleusercontent.com/_JME3iaIYImjGLcTQqcxA7v4g32clLK-CGVn16WIZZzdI0BPhHJCBQ7Dgl-PFzvUmNw,Panda Gaming Studio,Panda+Gaming+Studio,R$3.99,R$,3.99,false,"Gaming with Gamepad, Mouse &amp; Keyboard!",2.3,2.252788
“Comidinhas da Diana” por Fernanda Fontoura,br.com.wavimovi.comidinhasdadiana,https://play.google.com/store/apps/details?id=br.com.wavimovi.comidinhasdadiana,https://play-lh.googleusercontent.com/Odtx6p69gGihKryUgVD8rMty1uNSpM-Yatv2D8M7jcfS2t6gyBY5UaGqO_xbJZD_RiM,Wavimovi,Wavimovi,R$3.49,R$,3.49,false,A space where the final seasoning is always the mother of LOVE!,4.4,4.407767
"ReadEra Premium - book reader pdf, epub, word",org.readera.premium,https://play.google.com/store/apps/details?id=org.readera.premium,https://play-lh.googleusercontent.com/cbI_01jZP7oWKBa8I5yeLDoR-HEYkB_urY1KYJ27d6XeY78G70HTN3O_9z1nov75d2Tm,READERA LLC,7884016305306450409,R$35.99,R$,35.99,false,"Read books PDF, EPUB, WORD, KINDLE, MOBI! Best book reader ever of reading apps.",4.9,4.8533835
