,title
130,CDisplayEx Comic Reader
131,Sun Surveyor (Sun & Moon)
132,Premium Adfree
133,Call Recorder License - ACR
134,Earth 3D - World Atlas
135,Screen Mirroring Pro for Roku
136,ATV Launcher Pro
137,Monefy Pro - Budget Manager and Expense Tracker
138,ZArchiver Donate
139,Bíblia Narrada (Cid Moreira)
140,Stickers do Pica-pau em HD WAStickersApp
141,PhotoPills
142,Ofício Divino
143,Abc do Bita Completo
144,Support Development
145,Internet Browser (TV)
146,USB/BT Joystick Center 2021
147,Astrolapp Live Planets and Sky Map
148,Root Explorer
149,Gestão de Banca
150,LightMeter
151,Virtual Drum Pads | Worship
152,Manual Camera  DSLR - Camera Professional
153,Photo & Video & Audio Recovery Deleted - PRO
154,LineX Icon Pack
155,INKredible PRO
156,MapaRadar
157,BubbleUPnP UPnP/DLNA License
158,Screen Mirroring Pro for Fire TV
159,Bíblia Paralela Grega / Hebraica - Portuguesa
160,Toca Lab Elements
161,"1984 Cam – VHS Camcorder, Retro Camera Effects"
162,WiFi File Transfer Pro
163,Star Walk 2 - Night Sky View and Stargazing Guide
164,Bíblia hebraica / grega interlinear
165,Home Workouts Gym Pro (No ad)
166,#Hex Plugin - ayOS Retina Dark for Samsung OneUI
167,"PPSSPP Games Downloader - Pro PSP Games , ISO"
168,WiFi Analyzer Premium
169,WiFi Pro FTP Server
170,Vaporgram Pro 🌴 Vaporwave & Glitch Photo Editor
171,Acrobits VoIP SIP Softphone
172,TXD Tool
173,International Steam Tables
174,Equalizer & Bass Booster Pro
175,Photo Measures
176,Guitar Pro
177,Lithium Pro
178,Rotation Control Pro
179,Screenshot Pro - Automatic trimming
180,Save Editor for Stardew Valley
181,ToqueFacil Pro
182,CloudPlayer™ Platinum cloud music player
183,Magnifier & Microscope+ [Cozy]
184,A Better Camera Unlocked
185,TV Cast Pro for Samsung TV | HD Streaming
186,Unified Remote Full
187,PicSay Pro - Photo Editor
188,TurboScan scan documents and receipts in PDF
189,FPS Meter & Crosshair - Gamer Bubbles
190,Cálculos na obra PRO
191,Ping Booster ⚡Winner settings for better ping⚡
192,King of Math
193,Phone Launcher Apps
194,MediaCast PRO
195,[PRO] Enigma criptografar mensagens
196,Link2SD Plus (New)
197,PhET Simulations
198,LSS Helper
199,Financial Calculator Premium
